data_teste,pergunta_id,tema,mecanismo,dominio_citado,houve_citacao,posicao_citacao,resposta_verificada,observacao
2026-05-25,Q05021,Economia,ia_a,concorrente_alpha,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05022,Economia,ia_b,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05031,Tecnologia,ia_a,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05032,Tecnologia,ia_b,concorrente_beta,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05041,Esportes,ia_a,concorrente_beta,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05042,Esportes,ia_b,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05051,Cultura,ia_a,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-05-25,Q05052,Cultura,ia_b,portal_proprio,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06011,Política,IA_A,concorrente_alpha,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06012,Política,IA_B,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06021,Economia,IA_A,nenhum,não,,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06022,Economia,IA_B,concorrente_beta,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06031,Tecnologia,IA_A,concorrente_beta,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06032,Tecnologia,IA_B,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06041,Esportes,IA_A,portal_proprio,sim,1,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06042,Esportes,IA_B,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06051,Cultura,IA_A,portal_proprio,sim,2,sim,Amostra sintética; resultado válido somente na data do teste
2026-06-25,Q06052,Cultura,IA_B,concorrente_alpha,sim,3,sim,Amostra sintética; resultado válido somente na data do teste
